"code" "state"
1 "alabama"
2 "alaska"
3 "american samoa"
4 "arizona"
5 "arkansas"
6 "california"
7 "colorado"
8 "connecticut"
9 "delaware"
10 "district of columbia"
11 "federated states of micronesia"
12 "florida"
13 "georgia"
14 "guam"
15 "hawaii"
16 "idaho"
17 "illinois"
18 "indiana"
19 "iowa"
20 "kansas"
21 "kentucky"
22 "louisiana"
23 "maine"
24 "marshall islands"
25 "maryland"
26 "massachusetts"
27 "michigan"
28 "minnesota"
29 "mississippi"
30 "missouri"
31 "montana"
32 "nebraska"
33 "nevada"
34 "new hampshire"
35 "new jersey"
36 "new mexico"
37 "new york"
38 "north carolina"
39 "north dakota"
40 "northern mariana islands"
41 "ohio"
42 "oklahoma"
43 "oregon"
44 "palau"
45 "pennsylvania"
46 "puerto rico"
47 "rhode island"
48 "south carolina"
49 "south dakota"
50 "tennessee"
51 "texas"
52 "utah"
53 "vermont"
54 "virgin islands"
55 "virginia"
56 "washington"
57 "west virginia"
58 "wisconsin"
59 "wyoming"
60 "united states"
61 "interstate compact"
